state_ut,claims_sub_2020_21,claims_paid_2020_21,claims_pend_2020_21,claims_sub_2021_22,claims_paid_2021_22,claims_pend_2021_22,claims_sub_2022_23,claims_paid_2022_23,claims_pend_2022_23
Andaman and Nicobar Islands,307.0,287.0,,753,659,,663,629,
Andhra Pradesh,411343.0,400241.0,,631389,600784,475.0,683990,663088,1022.0
Arunachal Pradesh,42.0,35.0,4.0,45,40,5.0,923,881,42.0
Assam,92083.0,91406.0,539.0,173866,171850,1895.0,234535,223705,10597.0
Bihar,83214.0,80494.0,370.0,112312,110554,643.0,205367,178863,6665.0
Chandigarh,5123.0,4840.0,76.0,8178,8008,67.0,10041,8763,1148.0
Chhattisgarh,490895.0,477307.0,3456.0,888050,861869,12610.0,1260384,1184842,36019.0
Dadra and Nagar Haveli,14780.0,14664.0,17.0,16064,15807,30.0,16333,15979,160.0
Daman and Diu,4077.0,4031.0,2.0,4455,4399,3.0,5082,4982,36.0
Goa,139.0,136.0,,166,165,,407,392,2.0
Gujarat,267291.0,213922.0,,667324,633239,37070.0,1007709,909498,98211.0
Haryana,136628.0,133226.0,158.0,183293,180586,573.0,279577,268692,6878.0
Himachal Pradesh,27893.0,26186.0,477.0,45821,44190,1146.0,60268,58171,1749.0
Jammu and Kashmir,61850.0,50641.0,2188.0,245947,227320,7113.0,377222,345295,1911.0
Jharkhand,288913.0,264057.0,8065.0,321441,298409,13267.0,402605,378182,15164.0
Karnataka,658710.0,619707.0,6.0,1086009,1024090,21.0,2030793,1880387,888.0
Kerala,1037392.0,1021881.0,3451.0,1693019,1647742,34367.0,1217090,849760,359653.0
Ladakh,,,,506,473,11.0,5088,4633,137.0
Lakshadweep,,,,65,62,3.0,421,391,27.0
Madhya Pradesh,376210.0,365229.0,3207.0,699369,667146,12333.0,1141546,896695,97970.0
Maharashtra,230205.0,221610.0,451.0,291669,272929,2054.0,293529,275207,8181.0
Manipur,16076.0,15917.0,76.0,23648,23393,187.0,38346,36032,2015.0
Meghalaya,123714.0,123404.0,24.0,145207,144051,163.0,184801,174928,5269.0
Mizoram,16931.0,16546.0,50.0,13814,11650,2022.0,23216,22523,632.0
Nagaland,7345.0,7294.0,,5644,5632,3.0,12435,12416,13.0
Puducherry,2477.0,2366.0,75.0,11843,11664,100.0,24593,22964,318.0
Punjab,414883.0,405094.0,1029.0,528291,509108,9419.0,292372,267967,8462.0
Rajasthan,363821.0,347248.0,2506.0,1210350,1175123,5356.0,3177364,2996514,17425.0
Sikkim,1932.0,1860.0,58.0,2753,2699,51.0,4649,4150,484.0
Tamil Nadu,1417116.0,1384283.0,19703.0,4534670,4459694,64807.0,1754764,1681431,19237.0
Telangana,,,,289081,278020,108307.0,463320,286368,120724.0
Tripura,29983.0,26004.0,430.0,45661,43002,688.0,75858,69420,4807.0
Uttar Pradesh,313827.0,292828.0,419.0,489414,463984,1120.0,804951,735372,14142.0
Uttarakhand,111535.0,106885.0,56.0,179382,172530,757.0,256124,245621,981.0
