state_ut,phc,chc,sub_district_hosp,district_hosp,medical_college,total_beds
Andhra Pradesh,8712,6400.0,5400.0,2600,12583.0,35695
Arunachal Pradesh,397,594.0,,1151,350.0,2492
Assam,3166,6218.0,844.0,3677,9343.0,23248
Bihar,5596,8039.0,2459.0,4575,7251.0,27920
Chhattisgarh,5015,6726.0,629.0,3542,4458.0,20370
Goa,183,210.0,253.0,600,1342.0,2588
Gujarat,9422,11167.0,4492.0,3257,17899.0,46237
Haryana,2183,3079.0,1581.0,3647,3660.0,14150
Himachal Pradesh,1005,969.0,3665.0,1924,2632.0,10195
Jharkhand,1229,3647.0,534.0,3215,2900.0,11525
Karnataka,15112,6500.0,14530.0,6174,13712.0,56028
Kerala,5727,6371.0,8347.0,15113,7175.0,42733
Madhya Pradesh,8640,10590.0,9721.0,16650,5850.0,51451
Maharashtra,18276,15004.0,7903.0,4108,16998.0,45291
Manipur,420,365.0,10.0,551,1449.0,2795
Meghalaya,1127,867.0,40.0,1960,594.0,4588
Mizoram,655,240.0,70.0,903,500.0,2368
Nagaland,706,325.0,,1017,,2048
Odisha,1501,6290.0,1946.0,7288,9291.0,26316
Punjab,1688,3711.0,2509.0,3931,3160.0,14999
Rajasthan,13866,23820.0,2500.0,9474,17131.0,66791
Sikkim,257,28.0,,400,,685
Tamil Nadu,10025,12582.0,21978.0,7695,29888.0,82168
Telangana,4662,3320.0,5400.0,2270,5960.0,21612
Tripura,918,630.0,900.0,1260,727.0,4435
Uttarakhand,2111,1699.0,2035.0,1511,1850.0,9206
Uttar Pradesh,13548,26157.0,,22812,14726.0,77243
West Bengal,7640,11205.0,13110.0,7599,25086.0,64640
Andaman and Nicobar Islands,230,210.0,,220,700.0,1360
Chandigarh,23,120.0,100.0,527,3096.0,3866
Dadra and Nagar Haveli and Daman and Diu,177,132.0,100.0,240,589.0,1238
Delhi,12,,431.0,9789,12060.0,22292
Jammu and Kashmir,3955,2769.0,,1862,5420.0,14006
Ladakh,320,190.0,,370,,880
Lakshadweep,40,90.0,70.0,50,,250
Puducherry,185,120.0,,1853,2794.0,4952
All India/Total,148729,180384.0,111557.0,153815,224176.0,818661
